generation,replicate,sample,mean_vaf,median_vaf,detected_shared_variants,total_shared_variants
P25,1.0,P25-1.trimed1000,0.3473921818181818,0.2829465,24,44
P25,2.0,P25-2.trimed1000,0.5211711818181818,0.5970075,34,44
P25,3.0,P25-3.trimed1000,0.41347131818181815,0.481425,25,44
P25,4.0,P25-4.trimed1000,0.397542,0.0,21,44
P25,7.0,P25-7.trimed1000,0.37391006818181816,0.1230495,22,44
P25,8.0,P25-8.trimed1000,0.20034209090909091,0.0,17,44
P25,9.0,P25-9.trimed1000,0.2208271818181818,0.0,14,44
P25,10.0,P25-10.trimed1000,0.04840234090909091,0.0,4,44
P27,2.0,P27-2.trimed1000,0.1481064090909091,0.0,7,44
P27,3.0,P27-3.trimed1000,0.4304968863636363,0.467619,28,44
P27,4.0,P27-4.trimed1000,0.3918095909090909,0.1183005,22,44
P27,5.0,P27-5.trimed1000,0.29695836363636363,0.0,14,44
P27,6.0,P27-6.trimed1000,0.27296047727272726,0.0,18,44
P27,7.0,P27-7.trimed1000,0.5485997727272728,0.825172,27,44
P27,8.0,P27-8.trimed1000,0.18118002272727274,0.0,16,44
P27,9.0,P27-9.trimed1000,0.328947,0.0,19,44
P27,10.0,P27-10.trimed1000,0.2280521818181818,0.0,14,44
