"generation","condition","mean_n_sv","sd_n_sv","n_samples","sem_n_sv"
"P15","Avant choc",12.7,10.7708454223014,10,3.40604038600706
"P25","Froid",27,6.37704215656966,4,3.18852107828483
"P25","Chaud",15.75,7.13559154286922,4,3.56779577143461
"P27","Froid",19.75,8.46069343099804,4,4.23034671549902
"P27","Chaud",21.8,7.22495674727538,5,3.2310988842807
"P30","Froid",17,21.9089023002066,5,9.79795897113271
"P30","Chaud",2.2,1.78885438199983,5,0.8
"P50","Froid",18.6,8.04984471899924,5,3.6
"P50","Chaud",23.8,8.52642949891688,5,3.81313519298752
"P65","Froid",34,NA,1,NA
"P65","Chaud",29.5,16.1761140780679,4,8.08805703903395
